address,city_council_district,closed_date,created_date,department,ert_estimated_response_time,lat_location,method_received_description,overall_service_request_due_date,priority,service_request_number,service_request_type,status,unique_key,update_date
"7324 SKILLMAN ST, DALLAS, TX, 75231",10,2026-07-01T11:04:32.000,2026-07-01T03:23:39.000,Code Compliance,4 Business Days,"(32.88127758799284000,-96.73452494979523000)",API,,Emergency,26-00288245,Code Concern - CCS,Closed,500cs00001zZNpJAAW,2026-07-01T11:50:10.000
"8436 BIRCHCROFT DR, DALLAS, TX, 75243",10,,2026-07-01T01:26:56.000,Code Compliance,4 Business Days,"(32.90108111627667000,-96.75881781129250000)",Phone,,Standard,26-00288230,Code Concern - CCS,New,500cs00001zYxrdAAC,2026-07-01T01:27:04.000
"11934 OAK HIGHLANDS DR, DALLAS, TX, 75243",10,,2026-06-30T20:58:08.000,Code Compliance,4 Business Days,"(32.91121476198507000,-96.70957979122991000)",API,,Standard,26-00288108,Code Concern - CCS,New,500cs00001zXcFnAAK,2026-06-30T20:58:16.000
"8680 ABRAMS RD, DALLAS, TX, 75243",10,,2026-06-30T17:08:43.000,Code Compliance,4 Business Days,"(32.89669608102255400,-96.73895235479648000)",API,,Standard,26-00287866,Code Concern - CCS,New,500cs00001zUtkzAAC,2026-06-30T17:08:51.000
"8719 ARBOR PARK DR, DALLAS, TX, 75243",10,,2026-06-30T17:07:34.000,Code Compliance,4 Business Days,"(32.89485747833456500,-96.73115281358163000)",API,,Standard,26-00287863,Code Concern - CCS,New,500cs00001zUIBzAAO,2026-06-30T17:53:07.000
"8411 ELLERY DR, DALLAS, TX, 75243",10,,2026-06-30T16:51:09.000,Code Compliance,4 Business Days,"(32.92095671521741500,-96.75679521795605000)",API,,Standard,26-00287822,Code Concern - CCS,New,500cs00001zU9WtAAK,2026-06-30T16:51:17.000
"8580 ABRAMS RD, DALLAS, TX, 75243",10,,2026-06-30T16:31:07.000,Code Compliance,4 Business Days,"(32.89569414402011000,-96.73930754577256000)",Phone,,Standard,26-00287767,Code Concern - CCS,New,500cs00001zTZzeAAG,2026-06-30T16:31:14.000
"9801 WALNUT ST, DALLAS, TX, 75243",10,,2026-06-30T15:38:07.000,Code Compliance,4 Business Days,"(32.92308787269564000,-96.71784648335044000)",Phone,,Standard,26-00287620,Code Concern - CCS,New,500cs00001zTFUgAAO,2026-06-30T16:24:08.000
"11000 GLEN ECHO CT, DALLAS, TX, 75238",10,,2026-06-30T15:37:45.000,Code Compliance,4 Business Days,"(32.86967871716208000,-96.69381580770390000)",Phone,,Standard,26-00287616,Code Concern - CCS,New,500cs00001zRS4iAAG,2026-06-30T16:23:09.000
"9648 BRYSON DR, DALLAS, TX, 75238",10,2026-07-01T13:46:06.000,2026-06-30T15:34:55.000,Code Compliance,4 Business Days,"(32.87775249398543000,-96.69789102243370000)",Phone,,Standard,26-00287609,Code Concern - CCS,Closed,500cs00001zTMBBAA4,2026-07-01T16:16:19.000
"9236 CHURCH RD, DALLAS, TX, 75231",10,,2026-06-30T14:52:53.000,Code Compliance,4 Business Days,"(32.88587411558901000,-96.73221013469520000)",Phone,,Emergency,26-00287463,Code Concern - CCS,In Progress,500cs00001zPwA6AAK,2026-07-01T09:59:57.000
"8404 GLEN REGAL DR, DALLAS, TX, 75243",10,,2026-06-30T14:39:36.000,Code Compliance,4 Business Days,"(32.91986851813907000,-96.75686406945212000)",Phone,,Standard,26-00287426,Code Concern - CCS,New,500cs00001zSBPtAAO,2026-06-30T14:39:44.000
"8330 GLEN REGAL DR, DALLAS, TX, 75243",10,,2026-06-30T14:38:28.000,Code Compliance,4 Business Days,"(32.91988160981200000,-96.75831060596416000)",Phone,,Standard,26-00287423,Code Concern - CCS,New,500cs00001zS9r7AAC,2026-06-30T14:38:37.000
"7324 SKILLMAN ST, DALLAS, TX, 75231",10,,2026-06-30T14:37:27.000,Code Compliance,4 Business Days,"(32.88127758799284000,-96.73452494979523000)",Phone,,Emergency,26-00287420,Code Concern - CCS,In Progress,500cs00001zS6dlAAC,2026-07-01T10:58:20.000
"8336 GLEN REGAL DR, DALLAS, TX, 75243",10,,2026-06-30T14:36:56.000,Code Compliance,4 Business Days,"(32.91988067234756000,-96.75820695780230000)",Phone,,Standard,26-00287417,Code Concern - CCS,New,500cs00001zS85RAAS,2026-06-30T14:37:06.000
"8580 ABRAMS RD, DALLAS, TX, 75243",10,,2026-06-30T14:03:26.000,Code Compliance,4 Business Days,"(32.89569414402011000,-96.73930754577256000)",API,,Standard,26-00287329,Code Concern - CCS,New,500cs00001zQyo6AAC,2026-06-30T14:49:09.000
"8719 ARBOR PARK DR, DALLAS, TX, 75243",10,,2026-06-30T13:28:39.000,Code Compliance,4 Business Days,"(32.89485747833456500,-96.73115281358163000)",API,,Standard,26-00287228,Code Concern - CCS,New,500cs00001zQYgkAAG,2026-06-30T14:14:04.000
"9010 MARKVILLE DR, DALLAS, TX, 75243",10,,2026-06-30T13:04:09.000,Code Compliance,4 Business Days,"(32.91556703920932000,-96.75024085239312000)",API,,Standard,26-00287170,Code Concern - CCS,New,500cs00001zPJQQAA4,2026-06-30T13:04:14.000
"12517 RIALTO DR, DALLAS, TX, 75243",10,,2026-06-30T12:06:28.000,Code Compliance,7 Business Days,"(32.91890848639348400,-96.76012345792833000)",Phone,2026-09-10T23:59:00.000,Standard,26-00287016,Single Family Rental Needs Registration - CCS,New,500cs00001zM5DbAAK,2026-06-30T12:06:36.000
"8666 ROLLING ROCK LN, DALLAS, TX, 75238",10,2026-07-01T09:56:03.000,2026-06-30T11:45:12.000,Code Compliance,4 Business Days,"(32.86762333952446000,-96.69284198898718000)",Phone,,Standard,26-00286924,Code Concern - CCS,Closed,500cs00001zOG9dAAG,2026-07-01T10:42:13.000
"12107 SCHROEDER RD, DALLAS, TX, 75243",10,2026-07-01T13:10:46.000,2026-06-30T11:29:28.000,Code Compliance,4 Business Days,"(32.91366549566730000,-96.76272503579360000)",Proactive,,Standard,26-00286865,Code Concern - CCS,Closed,500cs00001zLIJIAA4,2026-07-01T13:10:46.000
"10646 CHESTERTON DR, DALLAS, TX, 75238",10,2026-06-30T11:38:28.000,2026-06-30T11:24:09.000,Code Compliance,4 Business Days,"(32.88102022694883000,-96.70161728826496000)",Phone,,Standard,26-00286848,Code Concern - CCS,Closed,500cs00001zN8EBAA0,2026-06-30T11:38:28.000
"13232 FALL MANOR DR, DALLAS, TX, 75243",10,,2026-06-30T10:56:26.000,Code Compliance,4 Business Days,"(32.92886325841023000,-96.71326474075697000)",Phone,,Standard,26-00286747,Code Concern - CCS,New,500cs00001zNA33AAG,2026-06-30T10:56:35.000
"13332 FALL MANOR DR, DALLAS, TX, 75243",10,,2026-06-30T10:55:44.000,Code Compliance,4 Business Days,"(32.93010279491934000,-96.71341553134238000)",API,,Standard,26-00286744,Code Concern - CCS,New,500cs00001zN90XAAS,2026-06-30T10:55:59.000
"9737 WHITEHURST DR, DALLAS, TX, 75243",10,,2026-06-30T10:44:38.000,Code Compliance,4 Business Days,"(32.90127791407232400,-96.72639598115022000)",Phone,,Standard,26-00286715,Code Concern - CCS,New,500cs00001zMrBhAAK,2026-06-30T10:44:46.000
"12122 HOBLITZELLE DR, DALLAS, TX, 75243",10,,2026-06-30T10:44:30.000,Code Compliance,4 Business Days,"(32.91352535534158400,-96.76019265915949000)",API,,Standard,26-00286714,Code Concern - CCS,In Progress,500cs00001zMUlPAAW,2026-07-01T15:07:42.000
"11927 HOBLITZELLE DR, DALLAS, TX, 75243",10,,2026-06-30T10:42:15.000,Code Compliance,4 Business Days,"(32.91116203062214000,-96.76216728320433000)",API,,Standard,26-00286704,Code Concern - CCS,New,500cs00001zMmGrAAK,2026-06-30T10:42:23.000
"12517 RIALTO DR, DALLAS, TX, 75243",10,2026-06-30T12:09:07.000,2026-06-30T10:28:31.000,Code Compliance,4 Business Days,"(32.91890848639348400,-96.76012345792833000)",API,,Emergency,26-00286652,Code Concern - CCS,Closed,500cs00001zLgLdAAK,2026-06-30T12:09:07.000
"11934 OAK HIGHLANDS DR, DALLAS, TX, 75243",10,,2026-06-30T09:26:21.000,Code Compliance,4 Business Days,"(32.91121476198507000,-96.70957979122991000)",API,,Standard,26-00286422,Code Concern - CCS,New,500cs00001zL0uDAAS,2026-06-30T10:12:09.000
"9607 GREENSPRINT DR, DALLAS, TX, 75238",10,,2026-06-30T08:06:08.000,Code Compliance,4 Business Days,"(32.88494622029400000,-96.72282628054607000)",API,,Standard,26-00286232,Code Concern - CCS,New,500cs00001zJOKkAAO,2026-06-30T08:52:05.000
"12025 LEISURE WAY, DALLAS, TX, 75243",10,,2026-06-30T07:20:41.000,Code Compliance,4 Business Days,"(32.91233905810483000,-96.71047422915504000)",Phone,,Standard,26-00286178,Code Concern - CCS,New,500cs00001zIbDZAA0,2026-06-30T08:06:08.000
"12708 SCHROEDER RD, DALLAS, TX, 75243",10,,2026-06-30T06:42:17.000,Code Compliance,4 Business Days,"(32.92086983824856000,-96.76063804302976000)",Phone,,Standard,26-00286131,Code Concern - CCS,New,500cs00001zHiSRAA0,2026-06-30T06:42:22.000
"11032 GLEN ECHO CT, DALLAS, TX, 75238",10,,2026-06-29T20:26:15.000,Code Compliance,4 Business Days,"(32.86945502223438000,-96.69308264892230000)",API,,Emergency,26-00285834,Code Concern - CCS,New,500cs00001zFWn8AAG,2026-06-29T21:12:14.000
"8580 ABRAMS RD, DALLAS, TX, 75243",10,2026-07-01T11:27:38.000,2026-06-29T20:11:38.000,Code Compliance,4 Business Days,"(32.89569414402011000,-96.73930754577256000)",API,,Standard,26-00285824,Code Concern - CCS,Closed,500cs00001zFTndAAG,2026-07-01T11:27:39.000
"11060 WALLBROOK DR, DALLAS, TX, 75238",10,,2026-06-29T17:20:00.000,Code Compliance,4 Business Days,"(32.87533542238501400,-96.69264122338957000)",Phone,,Standard,26-00285631,Code Concern - CCS,New,500cs00001zD6aDAAS,2026-06-29T17:21:46.000
"9169 MARKVILLE DR, DALLAS, TX, 75243",10,,2026-06-29T16:41:01.000,Code Compliance,4 Business Days,"(32.91383453922758000,-96.74338273190764000)",Phone,,Standard,26-00285560,Code Concern - CCS,New,500cs00001zB8D8AAK,2026-06-29T16:41:50.000
"9530 MOSSRIDGE CIR, DALLAS, TX, 75238",10,2026-07-01T13:00:20.000,2026-06-29T16:08:19.000,Code Compliance,4 Business Days,"(32.87669204275072600,-96.72848767500385000)",API,,Standard,26-00285474,Code Concern - CCS,Closed,500cs00001zBmTtAAK,2026-07-01T13:00:21.000
"8835 BOUNDBROOK AVE, DALLAS, TX, 75243",10,,2026-06-29T15:41:19.000,Code Compliance,4 Business Days,"(32.89671074857448500,-96.75721457089504000)",Phone,,Standard,26-00285399,Code Concern - CCS,New,500cs00001z9Nt1AAE,2026-06-29T16:27:11.000
"8803 GRAYWOOD DR, DALLAS, TX, 75243",10,,2026-06-29T15:40:11.000,Code Compliance,4 Business Days,"(32.90068903168821000,-96.75295983114849000)",Phone,,Standard,26-00285393,Code Concern - CCS,New,500cs00001zB6eMAAS,2026-06-29T16:26:19.000
"8850 FAIR OAKS XING, DALLAS, TX, 75243",10,,2026-06-29T15:37:33.000,Code Compliance,4 Business Days,"(32.89973069704038000,-96.72545691669112000)",Phone,,Standard,26-00285380,Code Concern - CCS,In Progress,500cs00001zBDXlAAO,2026-06-30T11:51:25.000
"9254 FOREST LN, DALLAS, TX, 75243",10,,2026-06-29T14:58:01.000,Code Compliance,4 Business Days,"(32.90894588223871000,-96.74049958149492000)",Phone,,Standard,26-00285233,Code Concern - CCS,New,500cs00001z9UzLAAU,2026-06-29T14:58:12.000
"9120 SUMMER GLEN LN, DALLAS, TX, 75243",10,,2026-06-29T14:53:58.000,Code Compliance,4 Business Days,"(32.89517359419545000,-96.74695737648122000)",API,,Standard,26-00285221,Code Concern - CCS,New,500cs00001zANNtAAO,2026-06-29T15:40:11.000
"10053 SILVERTREE DR, DALLAS, TX, 75243",10,,2026-06-29T14:53:32.000,Code Compliance,4 Business Days,"(32.91622702248708000,-96.71362413092562000)",API,,Standard,26-00285219,Code Concern - CCS,New,500cs00001z8hKLAAY,2026-06-29T15:39:06.000
"SPRING BRANCH DR & WHITE ROCK TRL, DALLAS, TX, 75238",10,,2026-06-29T14:31:07.000,Code Compliance,4 Business Days,"(32.87282735617892000,-96.72881593532746000)",API,,Standard,26-00285139,Code Concern - CCS,New,500cs00001z90IEAAY,2026-06-29T14:31:17.000
"9744 FOREST LN, DALLAS, TX, 75243",10,,2026-06-29T13:19:10.000,Code Compliance,4 Business Days,"(32.90933030145622000,-96.72112434692048000)",Phone,,Standard,26-00284965,Code Concern - CCS,New,500cs00001z7uB2AAI,2026-06-29T13:19:16.000
"10116 WALNUT ST, DALLAS, TX, 75243",10,,2026-06-29T13:08:21.000,Code Compliance,4 Business Days,"(32.91905364719521000,-96.71126896236910000)",API,,Standard,26-00284935,Code Concern - CCS,New,500cs00001z7gq6AAA,2026-06-29T13:08:29.000
"10271 WHITE ELM RD, DALLAS, TX, 75243",10,,2026-06-29T13:06:26.000,Code Compliance,4 Business Days,"(32.91638903986032000,-96.70689209859580000)",API,,Standard,26-00284927,Code Concern - CCS,New,500cs00001z5gHWAAY,2026-06-29T13:06:33.000
"12427 HALLUM ST, DALLAS, TX, 75243",10,2026-06-30T12:01:04.000,2026-06-29T11:16:33.000,Code Compliance,4 Business Days,"(32.91738683017741000,-96.75554753280721000)",API,,Standard,26-00284587,Code Concern - CCS,Closed,500cs00001z4AbUAAU,2026-06-30T12:01:04.000
"12404 HALLUM ST, DALLAS, TX, 75243",10,2026-06-30T11:56:13.000,2026-06-29T11:14:42.000,Code Compliance,4 Business Days,"(32.91671966185193600,-96.75527490823153000)",API,,Standard,26-00284583,Code Concern - CCS,Closed,500cs00001z54fFAAQ,2026-06-30T11:56:14.000
"8220 TOWNS ST, DALLAS, TX, 75243",10,,2026-06-29T11:10:53.000,Code Compliance,7 Business Days,"(32.91654704797140600,-96.76112944601799000)",Phone,2026-09-09T23:59:00.000,Standard,26-00284569,Single Family Rental Needs Registration - CCS,New,500cs00001z4WvKAAU,2026-06-29T11:11:01.000
"13130 CHANDLER DR, DALLAS, TX, 75243",10,2026-06-29T10:39:30.000,2026-06-29T10:39:30.000,Code Compliance,,"(32.92885933878001500,-96.71540647113310000)",API,2026-06-30T23:59:00.000,Standard,26-00284482,Short Term/Vacation Rental Survey - CCS,Closed,500cs00001z3sTGAAY,2026-06-29T10:39:39.000
"10134 BRIDGEGATE LN, DALLAS, TX, 75243",10,,2026-06-29T10:16:34.000,Code Compliance,4 Business Days,"(32.91030321642637000,-96.71258433567813000)",API,,Standard,26-00284394,Code Concern - CCS,New,500cs00001z3cTJAAY,2026-06-29T11:02:11.000
"10028 ROYAL LN, DALLAS, TX, 75238",10,,2026-06-29T10:15:06.000,Code Compliance,4 Business Days,"(32.89433083361474000,-96.71602284598455000)",Phone,,Standard,26-00284384,Code Concern - CCS,In Progress,500cs00001z2c5bAAA,2026-06-30T15:28:03.000
"9983 WOOD FOREST DR, DALLAS, TX, 75243",10,,2026-06-29T10:15:01.000,Code Compliance,4 Business Days,"(32.91136364784529000,-96.71551571740264000)",API,,Standard,26-00284383,Code Concern - CCS,New,500cs00001z3ZtdAAE,2026-06-29T11:01:16.000
"8835 BOUNDBROOK AVE, DALLAS, TX, 75243",10,,2026-06-29T08:38:34.000,Code Compliance,4 Business Days,"(32.89671074857448500,-96.75721457089504000)",Phone,,Standard,26-00284140,Code Concern - CCS,New,500cs00001z1gHiAAI,2026-06-29T09:24:12.000
"10905 MCINTOSH CT, DALLAS, TX, 75238",10,,2026-06-29T07:53:08.000,Code Compliance,4 Business Days,"(32.87302533583489000,-96.69487367840334000)",API,,Standard,26-00284049,Code Concern - CCS,New,500cs00001z0r3tAAA,2026-06-29T07:53:15.000
"10901 MCINTOSH CT, DALLAS, TX, 75238",10,,2026-06-29T07:50:59.000,Code Compliance,4 Business Days,"(32.87302536850952000,-96.69486476149585000)",API,,Standard,26-00284045,Code Concern - CCS,New,500cs00001z0nxxAAA,2026-06-29T07:51:05.000
"8814 MEDITERRANEAN DR, DALLAS, TX, 75238",10,,2026-06-29T07:46:25.000,Code Compliance,4 Business Days,"(32.86863403647558000,-96.69707638149282000)",API,,Standard,26-00284038,Code Concern - CCS,In Progress,500cs00001z0gTTAAY,2026-07-01T14:53:27.000
"11839 WOODBRIDGE DR, DALLAS, TX, 75243",10,,2026-06-29T06:45:42.000,Code Compliance,4 Business Days,"(32.91005411913289400,-96.71407811321525000)",API,,Standard,26-00283958,Code Concern - CCS,New,500cs00001yzZqbAAE,2026-06-29T07:31:18.000
"9830 FOREST LN, DALLAS, TX, 75243",10,,2026-06-29T06:43:35.000,Code Compliance,4 Business Days,"(32.90928444884222000,-96.71671536418549000)",API,,Standard,26-00283957,Code Concern - CCS,New,500cs00001yzZQnAAM,2026-06-29T07:29:09.000
"9030 MARKVILLE DR, DALLAS, TX, 75243",10,,2026-06-28T21:34:37.000,Code Compliance,4 Business Days,"(32.91474826642901500,-96.74968187488349000)",API,,Emergency,26-00283764,Code Concern - CCS,In Progress,500cs00001yxbQIAAY,2026-07-01T16:38:51.000
"6983 MERRIMAN PKWY, DALLAS, TX, 75231",10,2026-07-01T14:09:26.000,2026-06-28T18:26:56.000,Code Compliance,4 Business Days,"(32.87224258461074600,-96.73970298763878000)",API,,Standard,26-00283632,Code Concern - CCS,Closed,500cs00001ywDcyAAE,2026-07-01T14:55:14.000
"9637 FOREST LN, DALLAS, TX, 75243",10,2026-06-30T09:46:20.000,2026-06-28T16:08:39.000,Code Compliance,4 Business Days,"(32.90961377184953600,-96.72699282249873000)",Phone,,Emergency,26-00283534,Code Concern - CCS,Closed,500cs00001yw1GoAAI,2026-06-30T09:46:20.000
"9590 FOREST LN, DALLAS, TX, 75243",10,,2026-06-28T14:03:52.000,Code Compliance,4 Business Days,"(32.90924165320830500,-96.72676950339903000)",Phone,,Emergency,26-00283392,Code Concern - CCS,In Progress,500cs00001yvQtxAAE,2026-06-29T16:22:20.000
"8702 ARBOR PARK DR, DALLAS, TX, 75243",10,,2026-06-28T11:28:40.000,Code Compliance,4 Business Days,"(32.89459050983535000,-96.73086243142863000)",API,,Standard,26-00283259,Code Concern - CCS,New,500cs00001yuekTAAQ,2026-06-29T09:11:30.000
"13306 AUDELIA RD, DALLAS, TX, 75243",10,2026-07-01T11:55:48.000,2026-06-28T10:33:07.000,Code Compliance,4 Business Days,"(32.92964972811850500,-96.71781126017564000)",API,,Standard,26-00283209,Code Concern - CCS,Closed,500cs00001yuNRtAAM,2026-07-01T11:55:48.000
"13306 AUDELIA RD, DALLAS, TX, 75243",10,2026-07-01T11:53:23.000,2026-06-28T10:27:56.000,Code Compliance,4 Business Days,"(32.92964972811850500,-96.71781126017564000)",API,,Standard,26-00283203,Code Concern - CCS,Closed,500cs00001yuLhpAAE,2026-07-01T11:53:24.000
"9004 GUILDHALL DR, DALLAS, TX, 75238",10,,2026-06-28T10:02:50.000,Code Compliance,4 Business Days,"(32.87031368308654000,-96.71009937323822000)",Phone,,Standard,26-00283185,Code Concern - CCS,In Progress,500cs00001yuDKTAA2,2026-06-28T10:11:09.000
