Company,Website Status,Email Status,Phone Status,Verification Status,Confidence,Evidence Summary
Titan Acquisitions,Reachable,Valid,Valid,Verified,90,+ Valid Phone Format | + Valid Email Syntax | + Email Domain Matches Website | + Website Reachable (Title: ...) | - Missing Industry Keywords on Website
Prime Capital,Reachable,Valid,Valid,Verified,90,+ Valid Phone Format | + Valid Email Syntax | + Email Domain Matches Website | + Website Reachable (Title: Prime Capital...) | - Missing Industry Keywords on Website
BlueSky Capital,Dead,Valid,Valid,Partially Verified,50,+ Valid Phone Format | + Valid Email Syntax | + Email Domain Matches Website | - Dead Website (timed out)
Prime Investments,Reachable,Valid,Valid,Verified,100,+ Valid Phone Format | + Valid Email Syntax | + Email Domain Matches Website | + Website Reachable (Title: Prime Investments - Prime Inve...) | + Industry Keywords found on Website
Pioneer Home Buyers,Reachable,Valid,Valid,Verified,90,+ Valid Phone Format | + Valid Email Syntax | + Email Domain Matches Website | + Website Reachable (Title: ...) | - Missing Industry Keywords on Website
Apex Equity,Reachable,Valid,Valid,Verified,90,+ Valid Phone Format | + Valid Email Syntax | + Email Domain Matches Website | + Website Reachable (Title: ...) | - Missing Industry Keywords on Website
Vanguard Solutions,Reachable,Valid,Valid,Verified,90,+ Valid Phone Format | + Valid Email Syntax | + Email Domain Matches Website | + Website Reachable (Title: Vanguard Solutions...) | - Missing Industry Keywords on Website
Horizon Holdings,Reachable,Valid,Valid,Verified,100,"+ Valid Phone Format | + Valid Email Syntax | + Email Domain Matches Website | + Website Reachable (Title: Home | Horizon Holdings, LLC...) | + Industry Keywords found on Website"
Prime Solutions,Reachable,Valid,Valid,Verified,90,"+ Valid Phone Format | + Valid Email Syntax | + Email Domain Matches Website | + Website Reachable (Title: Prime Solutions, Inc. — Enterp...) | - Missing Industry Keywords on Website"
Vanguard Properties,Reachable,Valid,Valid,Verified,100,+ Valid Phone Format | + Valid Email Syntax | + Email Domain Matches Website | + Website Reachable (Title: Vanguard Properties | Bay Area...) | + Industry Keywords found on Website
Elite Holdings,Reachable,Valid,Valid,Verified,90,+ Valid Phone Format | + Valid Email Syntax | + Email Domain Matches Website | + Website Reachable (Title: ...) | - Missing Industry Keywords on Website
Eagle Acquisitions,Reachable,Valid,Valid,Verified,90,+ Valid Phone Format | + Valid Email Syntax | + Email Domain Matches Website | + Website Reachable (Title: ...) | - Missing Industry Keywords on Website
Velocity Solutions,Reachable,Valid,Valid,Verified,100,+ Valid Phone Format | + Valid Email Syntax | + Email Domain Matches Website | + Website Reachable (Title: Home...) | + Industry Keywords found on Website
BlueSky Properties,Reachable,Valid,Valid,Verified,90,+ Valid Phone Format | + Valid Email Syntax | + Email Domain Matches Website | + Website Reachable (Title: ...) | - Missing Industry Keywords on Website
NextGen Home Buyers,Reachable,Valid,Valid,Verified,100,+ Valid Phone Format | + Valid Email Syntax | + Email Domain Matches Website | + Website Reachable (Title: Next Gen Homebuyers &#8211; Se...) | + Industry Keywords found on Website
NextGen Wholesalers,Reachable,Valid,Valid,Verified,90,+ Valid Phone Format | + Valid Email Syntax | + Email Domain Matches Website | + Website Reachable (Title: NextGen Wholesalers A Division...) | - Missing Industry Keywords on Website
Liberty Solutions,Reachable,Valid,Valid,Verified,90,+ Valid Phone Format | + Valid Email Syntax | + Email Domain Matches Website | + Website Reachable (Title: ...) | - Missing Industry Keywords on Website
Horizon Properties,Reachable,Valid,Valid,Verified,90,+ Valid Phone Format | + Valid Email Syntax | + Email Domain Matches Website | + Website Reachable (Title: ...) | - Missing Industry Keywords on Website
Vanguard Real Estate,Reachable,Valid,Valid,Verified,90,+ Valid Phone Format | + Valid Email Syntax | + Email Domain Matches Website | + Website Reachable (Title: ...) | - Missing Industry Keywords on Website
Eagle Investments,Reachable,Valid,Valid,Verified,90,+ Valid Phone Format | + Valid Email Syntax | + Email Domain Matches Website | + Website Reachable (Title: ...) | - Missing Industry Keywords on Website
Pioneer Investments,Reachable,Valid,Valid,Verified,100,+ Valid Phone Format | + Valid Email Syntax | + Email Domain Matches Website | + Website Reachable (Title: Pioneer Investments - Victory ...) | + Industry Keywords found on Website
